"Ledaig 42yo Old Dusgadh","9.46","0.24","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.28","0.27","14","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 25yo","9.22","0.26","13","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.22","8","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 40yo","9.18","0.44","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Spectrum (Batch 1)","9.17","0.22","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Aberlour A'Bunadh (Batch 49)","9.15","0.15","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.14","0.28","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 25yo","9.14","0.23","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 30yo","9.14","0.42","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig 25yo","9.14","0.29","17","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki 18yo","9.13","0.21","21","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 33)","9.12","0.13","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Spectrum (all batches)","9.12","0.18","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Spectrum 004 (Batch 2)","9.11","0.29","3","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Compass Box Last Vatted Malt","9.11","0.13","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Redbreast 21yo","9.11","0.29","17","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.10","0.08","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 40)","9.09","0.14","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 16yo Odin","9.08","0.25","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.08","0.28","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Highland Park 18yo","9.07","0.22","25","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.07","0.33","17","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.07","0.19","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Springtide","9.06","0.78","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.06","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 52)","9.05","0.24","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.04","0.21","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.03","0.21","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.03","0.12","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Manzanilla Cask","9.03","0.12","4","$$$$$+","SingleMalt-like","ABC","C","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 53)","9.02","0.11","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Loki","9.02","0.24","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.02","0.29","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Kilchoman Port Cask Matured","9.02","0.19","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.01","0.19","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist PX Cask","9.01","0.71","5","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 35)","9.00","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Portonova","9.00","0.30","18","$$$$","SingleMalt-like","ABC","C","India","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","9.00","0.34","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 36)","8.99","0.48","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bladnoch 12yo Sherry Cask (Sheep label)","8.99","0.27","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich 21yo Cuvée 407 PX","8.99","0.17","4","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 21yo","8.99","0.25","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","8.98","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran 21st Anniversary Edition","8.98","0.21","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.98","0.28","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 18yo","8.98","0.19","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Signet","8.98","0.39","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Vinho Barrique","8.98","0.33","15","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Hakushu Sherry Cask","8.97","0.44","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Kavalan Solist Fino Sherry Cask","8.97","0.34","12","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Nikka Taketsuru 21yo","8.97","0.26","17","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 30)","8.96","0.17","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.96","0.32","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.96","0.38","19","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Amrut PX Sherry Single Cask 2696 (LCBO)","8.96","0.27","6","$$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glenlivet Alpha","8.96","0.11","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","8.95","0.16","25","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","8.95","0.16","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","8.95","0.20","13","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.95","0.23","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.95","0.34","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 40yo","8.95","0.39","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.94","0.40","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 35yo","8.94","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
